vehicle_id,frame_number,timestamp,vehicle_type,x_position,y_position,speed,direction
10,4,0.16,Car,187.83,375.17,27.9341,71.67
10,231,9.24,Car,204.33,334.67,35.366,64.23
10,400,16.0,Car,208.83,305.0,39.329,113.35
10,533,21.32,Car,220.83,308.83,30.4576,315.0
10,554,22.16,Car,235.5,305.83,40.3827,343.91
10,555,22.2,Car,243.17,319.0,34.3478,131.62
10,563,22.52,Car,242.67,319.67,33.8477,225.46
10,569,22.76,Car,236.33,280.33,28.9169,70.5
10,715,28.6,Car,257.83,228.67,29.1374,83.71
10,718,28.72,Car,284.17,144.17,36.5708,42.48
10,1059,42.36,Car,290.33,128.0,35.8348,80.63
10,1369,54.76,Car,292.0,102.5,35.9951,220.46
10,1394,55.76,Car,275.0,117.0,28.4784,51.34
11,1,0.04,Person,482.25,61.5,4.6674,0.0
11,20,0.8,Person,489.67,64.0,6.3237,339.45
11,31,1.24,Person,512.33,84.67,8.0257,295.73
11,48,1.92,Person,512.17,92.0,7.0825,288.44
11,62,2.48,Person,494.5,86.67,6.3517,139.43
11,70,2.8,Person,464.0,78.0,7.4242,160.52
11,78,3.12,Person,443.5,79.67,5.7838,253.3
11,91,3.64,Person,425.0,74.67,4.6405,127.21
11,109,4.36,Person,411.67,59.17,3.015,129.71
11,111,4.44,Person,398.67,43.83,2.7739,294.61
11,137,5.48,Person,403.0,57.0,2.5927,296.57
11,150,6.0,Person,399.17,57.33,3.7636,227.57
11,162,6.48,Person,396.83,56.17,6.2119,119.71
11,165,6.6,Person,373.0,54.67,6.6659,226.69
11,188,7.52,Person,350.33,82.67,5.5293,216.32
11,216,8.64,Person,346.0,80.17,4.4662,319.85
11,237,9.48,Person,346.83,79.83,3.7402,56.83
11,254,10.16,Person,345.67,52.33,3.2312,196.94
11,297,11.88,Person,315.17,51.0,1.7613,139.78
11,335,13.4,Person,309.83,42.0,3.0458,136.88
11,346,13.84,Person,332.33,47.17,5.7028,344.82
11,388,15.52,Person,356.33,53.83,5.8518,344.72
11,413,16.52,Person,362.5,63.33,4.0319,190.77
11,459,18.36,Person,353.83,60.33,3.1011,198.93
11,465,18.6,Person,352.0,71.5,3.5616,11.89
11,472,18.88,Person,351.5,64.0,4.0494,259.11
11,501,20.04,Person,341.17,82.0,2.465,156.42
11,523,20.92,Person,342.0,88.17,2.489,271.54
11,555,22.2,Person,345.33,104.0,2.5933,2.56
11,564,22.56,Person,335.0,93.0,2.5472,150.14
11,617,24.68,Person,321.5,72.0,2.3028,138.07
11,670,26.8,Person,311.33,56.0,4.2677,39.62
11,671,26.84,Person,320.67,50.33,3.7845,260.25
11,680,27.2,Person,325.67,71.67,4.1768,283.72
11,713,28.52,Person,326.0,106.17,1.8643,276.69
11,751,30.04,Person,330.67,166.33,4.8928,264.14
11,765,30.6,Person,337.5,218.0,4.1545,284.04
11,851,34.04,Person,348.0,257.33,3.8156,302.67
11,870,34.8,Person,356.17,283.17,0.8746,267.45
11,933,37.32,Person,359.0,296.83,3.2201,283.58
11,942,37.68,Person,365.5,291.17,3.9022,72.22
11,1018,40.72,Person,366.83,280.83,4.3094,86.91
11,1039,41.56,Person,379.0,300.17,4.2925,278.19
