time,vehicle_id,pedestrian_id,distance,vehicle_speed,ttc
356.0,bike_flow_2.26,ped_41,4.63,4.94,0.94
356.0,bike_flow_2.26,ped_43,11.11,4.94,2.25
356.0,bike_flow_2.26,ped_54,3.39,4.94,0.69
357.0,bike_flow_2.25,ped_41,6.09,3.87,1.57
357.0,bike_flow_2.25,ped_42,7.15,3.87,1.85
357.0,bike_flow_2.25,ped_44,7.03,3.87,1.82
357.0,bike_flow_2.25,ped_49,6.63,3.87,1.71
357.0,bike_flow_2.25,ped_51,6.88,3.87,1.78
357.0,bike_flow_2.25,ped_54,10.3,3.87,2.66
357.0,bike_flow_2.26,ped_41,3.19,4.35,0.73
357.0,bike_flow_2.26,ped_42,10.34,4.35,2.37
357.0,bike_flow_2.26,ped_44,11.09,4.35,2.55
357.0,bike_flow_2.26,ped_54,5.51,4.35,1.27
357.0,bike_flow_2.27,ped_43,3.2,3.29,0.97
357.0,bike_flow_2.27,ped_54,9.58,3.29,2.91
358.0,bike_flow_2.25,ped_41,11.05,5.99,1.84
358.0,bike_flow_2.25,ped_42,12.38,5.99,2.07
358.0,bike_flow_2.25,ped_44,11.38,5.99,1.9
358.0,bike_flow_2.25,ped_48,8.65,5.99,1.44
358.0,bike_flow_2.25,ped_49,8.31,5.99,1.39
358.0,bike_flow_2.25,ped_51,7.86,5.99,1.31
358.0,bike_flow_2.25,ped_52,8.39,5.99,1.4
358.0,bike_flow_2.25,ped_54,13.84,5.99,2.31
358.0,bike_flow_2.26,ped_41,2.08,4.28,0.49
358.0,bike_flow_2.26,ped_42,6.41,4.28,1.5
358.0,bike_flow_2.26,ped_44,6.08,4.28,1.42
358.0,bike_flow_2.26,ped_49,9.1,4.28,2.12
358.0,bike_flow_2.26,ped_51,9.61,4.28,2.24
358.0,bike_flow_2.26,ped_54,6.45,4.28,1.51
358.0,bike_flow_2.27,ped_41,10.23,5.74,1.78
358.0,bike_flow_2.27,ped_43,5.69,5.74,0.99
358.0,bike_flow_2.27,ped_54,5.67,5.74,0.99
359.0,bike_flow_2.25,ped_41,18.93,8.05,2.35
359.0,bike_flow_2.25,ped_44,19.88,8.05,2.47
359.0,bike_flow_2.25,ped_48,2.98,8.05,0.37
359.0,bike_flow_2.25,ped_49,15.75,8.05,1.96
